noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG
talent,122,abstract,4.578999586,6,2,6,4,2.19,7.5938,517.9230769,1.14,4.364
dung,123,concrete,3.545768984,4,1,3,12,4.64,3.4194,603.3939394,0.76,5.706
brink,123,abstract,3.823488242,5,1,5,10,2.48,3.9667,641.2432432,1.33,2.871
daylight,124,concrete,3.889972475,8,2,5,2,4.1,7.6471,540.0526316,1.11,6.273
wisdom,124,abstract,3.922335631,6,2,6,2,1.53,8.1875,564.4210526,0.86,2.5
laugh,125,concrete,4.773430592,5,1,3,2,4.21,8.4118,534.3421053,1.1,5.618
peace,125,abstract,4.743399921,5,1,3,2,1.62,8.6471,530.7894737,1.35,4.0
ulcer,126,concrete,2.863053061,5,2,4,10,4.69,2.9118,618.8787879,0.76,5.657
strife,126,abstract,3.158133724,6,1,5,12,2.2,3.4545,644.03125,1.45,3.394
hooker,127,concrete,3.460658711,6,2,4,12,4.5,2.4848,573.6571429,0.92,5.697
outrage,127,abstract,3.58391522,7,2,5,13,2.45,2.3714,584.0789474,1.38,4.657
stroke,128,concrete,4.189193777,6,1,5,4,4.1,3.8,555.2972973,0.94,5.143
nonsense,128,abstract,4.270114291,8,2,7,4,2.38,3.3939,559.8974359,1.37,2.606
exam,129,concrete,4.104992378,4,2,5,4,4.48,3.2059,548.6315789,0.95,6.206
fraud,129,abstract,4.251192943,5,1,4,6,1.68,2.2571,586.475,0.86,3.114
carcass,130,concrete,3.451610582,7,2,6,10,4.46,2.6,705.2333333,1.17,5.531
dissent,130,abstract,3.21687381,7,2,6,12,2.17,3.1,685.7666667,1.13,2.781
court,131,concrete,5.103194617,5,1,4,4,4.31,4.1333,528.5789474,1.19,5.594
issue,131,abstract,5.182392858,5,2,3,6,2.37,3.6765,518.55,1.52,3.029
smile,132,concrete,4.712518439,5,1,4,2,4.5,8.2813,571.6578947,0.75,6.576
success,132,abstract,4.91626221,7,2,6,4,2.21,8.3529,528.5263158,1.37,4.143
bongo,133,concrete,3.038158407,5,2,5,6,4.77,6.0303,648.6969697,0.43,5.97
truce,133,abstract,3.188496115,5,1,4,6,2.47,6.9677,656.7058824,1.31,3.75
hug,134,concrete,4.130783368,3,1,3,2,4.14,8.2059,536.775,1.21,6.212
cure,134,abstract,4.138528952,4,1,4,4,2.41,8.0,553.9166667,1.38,2.844
gorge,135,concrete,3.522458246,5,1,4,6,4.15,4.4839,655.03125,1.29,4.588
plea,135,abstract,3.634755503,4,1,3,8,2.39,3.6,649.972973,1.23,3.4
dungeon,136,concrete,3.136644808,7,2,6,4,4.32,2.3636,567.1081081,1.18,6.118
treason,136,abstract,3.30426176,7,2,6,6,2.03,1.8182,615.5789474,1.12,2.969
missile,137,concrete,3.664218675,7,2,5,4,4.83,2.3438,615.3589744,0.38,6.281
hardship,137,abstract,3.521810529,8,2,7,4,1.79,2.0606,659.2285714,0.9,3.849
portrait,138,concrete,4.183298286,8,2,7,6,4.9,5.7576,619.7567568,0.31,6.152
instinct,138,abstract,4.006853569,8,2,8,8,2.0,6.697,627.9166667,1.14,2.529
slum,139,concrete,3.320017822,4,1,4,6,4.03,2.25,634.1081081,0.98,5.387
woe,139,abstract,3.174302222,3,1,2,8,1.96,2.4194,612.9444444,1.37,2.71
syringe,140,concrete,3.122246988,7,2,5,10,4.81,3.4375,675.1944444,0.57,6.4
wrath,140,abstract,3.409226269,5,1,3,12,2.42,2.6364,627.3243243,1.33,2.875
