"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
132,"Concrete","A1","genital",2.725119504,"adjective",7,9.82,4.19
133,"Abstract","A1","unplanned",2.7000571,"adjective",9,8.22,1.52
133,"Concrete","A1","obituary",2.992400916,"adjective",8,9.44,4.18
134,"Abstract","A1","educate",3.566139631,"verb",7,7.84,2.12
134,"Concrete","A1","spark",3.853192494,"verb",5,7.95,4.25
135,"Abstract","A1","prematurity",1.695735726,"noun",11,13.05,2.22
135,"Concrete","A1","parallelogram",1.841863762,"noun",13,11.05,4.07
136,"Abstract","A2","pause",3.860385942,"noun",5,6.75,2.38
136,"Concrete","A2","crust",3.869795534,"noun",5,5.95,4.59
137,"Abstract","A1","phobic",2.528244639,"adjective",6,11.82,2.26
137,"Concrete","A1","serrated",2.716925025,"adjective",8,11.29,4.04
138,"Abstract","A2","misery",3.999147797,"noun",6,9.22,2.04
138,"Concrete","A2","patch",4.232420399,"noun",5,7.28,4.7
139,"Abstract","A1","neat",4.00130204,"adjective",4,5.43,2.47
139,"Concrete","A1","wooden",4.294963589,"adjective",6,5.89,4.61
140,"Abstract","A2","jubilee",4.063464272,"name",7,10.61,2.29
140,"Concrete","A2","constable",4.110040414,"name",9,11.06,4.54
141,"Abstract","A2","mistake",4.791637005,"noun",7,5.78,1.97
141,"Concrete","A2","dress",4.847258794,"noun",5,4.05,4.93
142,"Abstract","A2","supreme",4.04071714,"name",7,8.47,2
142,"Concrete","A2","academy",4.223752067,"name",7,9.05,4.29
143,"Abstract","A2","revenge",4.016504955,"noun",7,8,1.54
143,"Concrete","A2","cigarette",4.10549983,"noun",9,6.39,4.88
144,"Abstract","A2","scruple",2.057463562,"noun",7,11.84,1.92
144,"Concrete","A2","vulva",1.899855709,"noun",5,13.11,4.5
145,"Abstract","A1","unearned",1.926184648,"adjective",8,10.25,1.57
145,"Concrete","A1","treeless",2.093675735,"adjective",8,9.18,4.24
146,"Abstract","A2","overuse",2.057463562,"noun",7,9.17,2.24
146,"Concrete","A2","busload",1.871826985,"noun",7,7.47,4.12
147,"Abstract","A1","sanity",3.144442046,"noun",6,10.29,1.85
147,"Concrete","A1","maize",3.10903549,"noun",5,9.59,4.58
148,"Abstract","A2","curse",3.803623751,"noun",5,7.47,2.39
148,"Concrete","A2","sketch",3.85379652,"noun",6,9,4.56
149,"Abstract","A2","times",5.45582633,"noun",5,6.7,2.07
149,"Concrete","A2","ground",5.189751101,"noun",6,4.89,4.77
150,"Abstract","A1","permissible",2.659523554,"adjective",11,10.94,2.36
150,"Concrete","A1","invertebrate",2.604220745,"adjective",12,10.78,4
151,"Abstract","A2","activation",2.659523554,"noun",10,9.78,2.41
151,"Concrete","A2","crossbones",2.495076276,"noun",10,9.88,4.07
152,"Abstract","A2","sociable",3.268607328,"adjective",8,9.94,2.03
152,"Concrete","A2","lavatory",3.266278666,"adjective",8,10.58,4.81
153,"Abstract","A2","highness",3.551254882,"name",8,7.35,2.44
153,"Concrete","A2","partridge",3.653343013,"name",9,8.05,4
154,"Abstract","A2","reunification",2.376976964,"noun",13,13.94,1.93
154,"Concrete","A2","psychotherapist",2.576549318,"noun",15,15.06,4.16
155,"Abstract","A2","cruelty",3.550648749,"noun",7,8.89,2.04
155,"Concrete","A2","floss",3.270923571,"noun",5,7.06,4.41
156,"Abstract","A1","iffy",2.928731837,"adjective",4,7.84,1.68
156,"Concrete","A1","padded",3.13506842,"adjective",6,6.83,4.21
