"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","AoA.Kuperman","CNC.Brysbaert","RT.BLP"
92,"LowFreq","A1","molehill",2.34894824,10.61,4.64,707.09375
92,"HighFreq","A1","commode",2.716925025,10.56,4.54,718.4285714
93,"LowFreq","A1","sphincter",2.481065561,13.8,4.54,814
93,"HighFreq","A1","condor",2.897132851,13.57,4.46,812.7
94,"LowFreq","A1","airmail",1.809679079,12,3.66,669.5625
94,"HighFreq","A1","siphon",2.708572951,11.88,3.68,688.08
95,"LowFreq","A1","spore",2.420011596,10.76,4.14,672.2413793
95,"HighFreq","A1","puree",3.978131231,10.94,4.16,685.4666667
96,"LowFreq","A1","colic",2.403305902,13.06,3.21,724.5
96,"HighFreq","A1","trustee",2.771282688,12.79,3.3,709
97,"LowFreq","A2","hiker",2.385931806,8.5,4.53,634.5135135
97,"HighFreq","A2","sewage",3.582226451,8.47,4.52,645.3513514
98,"LowFreq","A1","cackle",2.275519323,8.56,3.63,680.3142857
98,"HighFreq","A1","crispness",2.659523554,8.79,3.58,698.8928571
99,"LowFreq","A2","bathrobe",2.239803771,7.9,5,642.2162162
99,"HighFreq","A2","hatchet",2.673459331,8.2,4.93,625.2222222
100,"LowFreq","A1","dryness",2.428129486,8.94,2.72,630.4285714
100,"HighFreq","A1","moron",3.321048177,8.67,2.8,626.3513514
101,"LowFreq","A1","thermos",2.45916372,8.29,4.67,690.1923077
101,"HighFreq","A1","aspirin",3.167027437,7.95,4.76,675.3055556
102,"LowFreq","A2","panty",2.339188403,6.26,4.59,620
102,"HighFreq","A2","skater",3.1189816,6.57,4.65,631.1794872
103,"LowFreq","A2","skillet",2.18709742,8.2,4.73,733.6315789
103,"HighFreq","A2","chowder",2.664218675,8,4.7,751.6428571
104,"LowFreq","A1","fastener",2.329204182,8.72,4.1,666.1944444
104,"HighFreq","A1","clump",3.13506842,8.62,4,653.4642857
105,"LowFreq","A1","birthmark",2.436098416,6.85,4.35,686.9473684
105,"HighFreq","A1","downtown",3.488827326,6.42,4.39,678
106,"LowFreq","A2","wristband",2.41173907,8,4.79,592.55
106,"HighFreq","A2","surfer",3.199526409,7.58,4.73,587.8947368
107,"LowFreq","A2","freshman",2.45916372,10.45,3.79,667.9722222
107,"HighFreq","A2","showman",3.21687381,10.21,3.7,685.1034483
108,"LowFreq","A2","paging",2.093675735,11.45,3.42,639.4285714
108,"HighFreq","A2","whiplash",3.1189816,11.68,3.5,652.8648649
109,"LowFreq","A1","waiver",2.436098416,11.17,3.62,707.1153846
109,"HighFreq","A1","transit",3.533324164,11.2,3.61,692.027027
110,"LowFreq","A2","tampon",2.297795718,12.11,4.86,628.1621622
110,"HighFreq","A2","crumpet",2.848024071,11.85,4.81,615.6756757
111,"LowFreq","A1","sapling",2.488127416,9.2,4.52,718.6296296
111,"HighFreq","A1","cobbler",2.923622431,9,4.53,729.9142857
112,"LowFreq","A2","printout",2.12709949,11.56,4.53,705.1176471
112,"HighFreq","A2","bistro",2.851071764,11.79,4.44,694.3888889
113,"LowFreq","A2","skit",1.996765722,9.17,3.86,666.3478261
113,"HighFreq","A2","putt",3.631242992,8.67,3.9,659.5789474
114,"LowFreq","A1","quip",2.495076276,12.75,3.26,648.8333333
114,"HighFreq","A1","vortex",2.992400916,12.94,3.28,652.1176471
115,"LowFreq","A2","sequin",2.358493558,8.76,4.24,674.1935484
115,"HighFreq","A2","loon",2.686961802,9.12,4.26,680.7931034
116,"LowFreq","A2","dimple",2.45916372,7.84,4.74,631
116,"HighFreq","A2","cot",3.448552157,7.53,4.67,616.6857143
117,"LowFreq","A2","checkup",2.376976964,6.06,3.48,707.2894737
117,"HighFreq","A2","zigzag",3.063091647,6.06,3.52,689
118,"LowFreq","A1","hugeness",1.695735726,9.2,3.04,657.52
118,"HighFreq","A1","uproar",2.91321967,9.55,3,666.2777778
119,"LowFreq","A1","thinness",2.158133724,7.78,2.76,622.4545455
119,"HighFreq","A1","coolness",2.625154652,7.9,2.67,625.4054054
120,"LowFreq","A2","floorboard",2.41173907,9.35,4.89,671.2857143
120,"HighFreq","A2","nozzle",2.874712673,9.32,4.91,652.1142857
