word,item_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
disdain,2216,abstract,2.729159482,noun,7,13.44,1.83,0.89
quaint,2220,abstract,3.413406229,noun,6,12.58,1.81,0.92
sexism,2290,abstract,2.969893575,noun,6,13.63,1.61,0.92
fetish,2311,abstract,2.841863762,noun,6,13.44,2.48,1.15
rapport,2393,abstract,3.038158407,noun,7,13.18,1.84,1.07
latent,2400,abstract,2.587830329,noun,6,15.17,1.81,1.0
bravado,2422,abstract,2.923622431,noun,7,12.88,1.93,1.12
fallacy,2445,abstract,2.630234177,noun,7,13.83,1.8,1.15
turmoil,2478,abstract,3.677101235,noun,7,12.84,2.11,1.01
jilt,2568,abstract,1.598825713,noun,4,12.28,2.0,1.15
moment,2625,abstract,5.574383885,noun,6,7.95,1.61,1.1
empathy,2631,abstract,3.195422809,noun,7,14.32,1.63,1.01
