,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
307,cellar,52,concrete,3.789857322,noun,6,8.94,4.68,0.86,privative,artificial,artificial cellar
309,dilemma,52,abstract,3.833722459,noun,7,10.72,2.0,1.05,subsective,good,good dilemma
310,dilemma,52,abstract,3.833722459,noun,7,10.72,2.0,1.05,privative,fictitious,fictitious dilemma
312,seal,53,concrete,4.283558898,noun,4,5.42,4.63,0.74,subsective,perfect,perfect seal
313,seal,53,concrete,4.283558898,noun,4,5.42,4.63,0.74,privative,mock,mock seal
315,fame,53,abstract,4.182307877,noun,4,7.26,1.96,1.08,subsective,unique,unique fame
316,fame,53,abstract,4.182307877,noun,4,7.26,1.96,1.08,privative,virtual,virtual fame
318,ribcage,54,concrete,2.576549318,noun,7,8.56,4.96,0.19,subsective,good,good ribcage
319,ribcage,54,concrete,2.576549318,noun,7,8.56,4.96,0.19,privative,fictitious,fictitious ribcage
321,humbug,54,abstract,2.816309657,noun,6,8.29,1.57,0.95,subsective,authentic,authentic humbug
322,humbug,54,abstract,2.816309657,noun,6,8.29,1.57,0.95,privative,counterfeit,counterfeit humbug
324,stage,55,concrete,5.189110117,noun,5,6.32,4.64,0.91,subsective,good,good stage
325,stage,55,concrete,5.189110117,noun,5,6.32,4.64,0.91,privative,fictitious,fictitious stage
327,chance,55,abstract,5.455984759,noun,6,7.78,1.64,0.99,subsective,bad,bad chance
328,chance,55,abstract,5.455984759,noun,6,7.78,1.64,0.99,privative,fake,fake chance
330,tendon,56,concrete,2.981293035,noun,6,9.58,4.47,0.97,subsective,unique,unique tendon
331,tendon,56,concrete,2.981293035,noun,6,9.58,4.47,0.97,privative,virtual,virtual tendon
333,sleaze,56,abstract,2.848024071,noun,6,11.21,2.41,1.05,subsective,important,important sleaze
334,sleaze,56,abstract,2.848024071,noun,6,11.21,2.41,1.05,privative,former,former sleaze
336,pork,57,concrete,4.388494544,noun,4,5.63,4.79,0.82,subsective,unique,unique pork
337,pork,57,concrete,4.388494544,noun,4,5.63,4.79,0.82,privative,virtual,virtual pork
339,faith,57,abstract,4.666361503,noun,5,7.62,1.63,1.08,subsective,new,new faith
340,faith,57,abstract,4.666361503,noun,5,7.62,1.63,1.08,privative,hypothetical,hypothetical faith
342,onyx,58,concrete,2.883256447,noun,4,13.29,4.64,0.99,subsective,current,current onyx
343,onyx,58,concrete,2.883256447,noun,4,13.29,4.64,0.99,privative,false,false onyx
345,jargon,58,abstract,3.115691475,noun,6,11.94,2.07,1.13,subsective,genuine,genuine jargon
346,jargon,58,abstract,3.115691475,noun,6,11.94,2.07,1.13,privative,fictional,fictional jargon
348,stud,59,concrete,3.45916372,noun,4,10.78,4.0,1.17,subsective,current,current stud
349,stud,59,concrete,3.45916372,noun,4,10.78,4.0,1.17,privative,false,false stud
351,ordeal,59,abstract,3.632249469,noun,6,10.06,2.04,1.15,subsective,bad,bad ordeal
352,ordeal,59,abstract,3.632249469,noun,6,10.06,2.04,1.15,privative,fake,fake ordeal
354,spandex,60,concrete,2.466587738,noun,7,9.89,4.97,0.19,subsective,bad,bad spandex
355,spandex,60,concrete,2.466587738,noun,7,9.89,4.97,0.19,privative,fake,fake spandex
357,infamy,60,abstract,2.508649083,noun,6,10.56,1.75,1.04,subsective,authentic,authentic infamy
358,infamy,60,abstract,2.508649083,noun,6,10.56,1.75,1.04,privative,counterfeit,counterfeit infamy
360,stubble,61,concrete,2.822840525,noun,7,9.28,4.54,0.65,subsective,unique,unique stubble
361,stubble,61,concrete,2.822840525,noun,7,9.28,4.54,0.65,privative,virtual,virtual stubble
363,lunacy,61,abstract,2.822840525,noun,6,10.58,1.76,0.87,subsective,old,old lunacy
364,lunacy,61,abstract,2.822840525,noun,6,10.58,1.76,0.87,privative,imaginary,imaginary lunacy
366,gash,62,concrete,2.946155729,noun,4,7.95,4.39,1.1,subsective,current,current gash
367,gash,62,concrete,2.946155729,noun,4,7.95,4.39,1.1,privative,false,false gash
369,vow,62,abstract,3.202240759,noun,3,9.32,2.42,1.15,subsective,genuine,genuine vow
370,vow,62,abstract,3.202240759,noun,3,9.32,2.42,1.15,privative,fictional,fictional vow
372,elm,63,concrete,3.402453509,noun,3,9.06,4.69,1.04,subsective,true,true elm
373,elm,63,concrete,3.402453509,noun,3,9.06,4.69,1.04,privative,phony,phony elm
375,merit,63,abstract,3.577120383,noun,5,10.47,1.66,0.97,subsective,real,real merit
376,merit,63,abstract,3.577120383,noun,5,10.47,1.66,0.97,privative,mythical,mythical merit
378,cleft,64,concrete,2.691370921,noun,5,11.83,4.31,1.05,subsective,new,new cleft
379,cleft,64,concrete,2.691370921,noun,5,11.83,4.31,1.05,privative,hypothetical,hypothetical cleft
381,obtuse,64,abstract,2.428129486,noun,6,12.06,2.14,1.19,subsective,important,important obtuse
382,obtuse,64,abstract,2.428129486,noun,6,12.06,2.14,1.19,privative,former,former obtuse
384,maid,65,concrete,3.771647488,noun,4,6.95,4.64,0.87,subsective,real,real maid
385,maid,65,concrete,3.771647488,noun,4,6.95,4.64,0.87,privative,mythical,mythical maid
