,noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase
181,item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,privative,spurious,spurious item
182,item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,baseline,xkq,xkq item
183,limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,subsective,old,old limit
184,limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,privative,imaginary,imaginary limit
185,limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,baseline,rvqf,rvqf limit
186,prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,subsective,perfect,perfect prison
187,prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,privative,mock,mock prison
188,prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,baseline,bxfjwts,bxfjwts prison
189,trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,subsective,genuine,genuine trouble
190,trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,privative,fictional,fictional trouble
191,trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,baseline,ptrgsbkv,ptrgsbkv trouble
192,trophy,33,concrete,4.374436161,6,2,5,2,4.89,7.5429,579.825,0.42,6.559,subsective,perfect,perfect trophy
193,trophy,33,concrete,4.374436161,6,2,5,2,4.89,7.5429,579.825,0.42,6.559,privative,mock,mock trophy
194,trophy,33,concrete,4.374436161,6,2,5,2,4.89,7.5429,579.825,0.42,6.559,baseline,tqvgqrz,tqvgqrz trophy
195,skill,33,abstract,4.397907677,5,1,4,4,2.17,7.6129,574.05,1.29,3.419,subsective,new,new skill
