"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
162,"Abstract","A2","humbug",2.816309657,"noun",6,8.29,1.57
162,"Concrete","A2","trapdoor",2.741058705,"noun",8,9.16,4.56
163,"Abstract","A1","affiliation",2.625154652,"noun",11,12.28,1.93
163,"Concrete","A1","grindstone",2.521810529,"noun",10,11.47,4.48
164,"Abstract","A1","wannabe",3.335222215,"noun",7,11.29,1.85
164,"Concrete","A1","parsnip",3.267444558,"noun",7,10.75,4.85
165,"Abstract","A2","crudeness",1.473886977,"noun",9,11.37,1.85
165,"Concrete","A2","wingtip",1.540833766,"noun",7,12.35,4.68
166,"Abstract","A2","dependability",1.695735726,"noun",13,10.05,1.97
166,"Concrete","A2","battlefront",1.841863762,"noun",11,9.95,4
167,"Abstract","A2","satire",3.395573452,"noun",6,13.07,1.96
167,"Concrete","A2","methane",3.388582645,"noun",7,13.21,4.32
168,"Abstract","A2","unearned",1.926184648,"adjective",8,10.25,1.57
168,"Concrete","A2","unshaven",2.110709074,"adjective",8,10,4.24
169,"Abstract","A2","bummer",2.774916972,"noun",6,7.3,1.97
169,"Concrete","A2","railing",2.716925025,"noun",7,6.56,4.79
170,"Abstract","A1","prim",2.729159482,"adjective",4,9.58,1.8
170,"Concrete","A1","opal",2.774916972,"adjective",4,9.28,4.42
171,"Abstract","A1","readiness",2.983537456,"noun",9,9.67,1.64
171,"Concrete","A1","hamstring",3.097136267,"noun",9,9.74,4.72
172,"Abstract","A1","insane",3.964781436,"adjective",6,7.96,1.77
172,"Concrete","A1","lighter",4.133961534,"adjective",7,7.12,4.53
173,"Abstract","A1","amused",3.393836272,"verb",6,7.83,1.96
173,"Concrete","A1","hinge",3.259216812,"verb",5,7.95,4.57
174,"Abstract","A1","oppressive",3.079551092,"adjective",10,12.44,1.64
174,"Concrete","A1","mortuary",2.928731837,"adjective",8,12.06,4.52
175,"Abstract","A2","soul",4.526773212,"noun",4,6.17,1.86
175,"Concrete","A2","tower",4.502051396,"noun",5,6.33,4.76
176,"Abstract","A1","antisocial",3.245964079,"adjective",10,11.47,1.86
176,"Concrete","A1","watershed",3.210283479,"adjective",9,11.71,4.08
177,"Abstract","A1","capitulation",2.26393745,"noun",12,12.93,1.78
177,"Concrete","A1","liposuction",2.318985017,"noun",11,12.2,4.1
178,"Abstract","A1","unconvincing",2.635254979,"adjective",12,10.74,1.93
178,"Concrete","A1","penitentiary",2.45916372,"adjective",12,11.22,4.42
179,"Abstract","A1","mood",4.502458229,"noun",4,6.58,1.75
179,"Concrete","A1","album",4.546504453,"noun",5,6.72,4.69
180,"Abstract","A2","insolence",2.34894824,"noun",9,14.11,1.8
180,"Concrete","A2","transponder",2.239803771,"noun",11,15.07,4.5
181,"Abstract","A2","inefficiency",2.691370921,"noun",12,11.79,1.57
181,"Concrete","A2","postmaster",2.609549579,"noun",10,11.32,4.59
