,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
143,bong,565,concrete,3.450084062,noun,4,14.16,4.27,1.19,stigma,565,abstract,3.316912008,noun,6,15.56,1.76,0.97,
144,drainer,568,concrete,1.951008231,noun,7,7,4.22,1.15,pronoun,568,abstract,2.093675735,noun,7,8.63,2.48,1.55,
145,oboe,585,concrete,2.704335898,noun,4,10.78,4.43,1.26,spunk,585,abstract,2.534584817,noun,5,10.85,2.44,1.42,x
146,tropics,588,concrete,3.059347706,noun,7,10.47,4.08,1.02,catchy,588,abstract,3.311685778,noun,6,8.74,1.79,0.98,
147,brake,589,concrete,3.839374961,noun,5,5.95,4.44,0.87,sin,589,abstract,3.95676056,noun,3,6.74,1.85,1.2,
148,tweezer,596,concrete,1.809679079,noun,7,9.89,4.89,0.32,civics,596,abstract,1.841863762,noun,6,11.35,2.21,1.29,
149,pea,603,concrete,3.907656811,noun,3,3.95,4.9,0.56,boo,603,abstract,4.201157054,noun,3,3.78,2.48,1.6,x
150,crop,604,concrete,4.098340968,noun,4,7.63,4.24,1.01,behalf,604,abstract,4.287134277,noun,6,9.2,1.52,0.82,
151,bedmate,607,concrete,1.172856981,noun,7,11,4.27,1.04,peeve,607,abstract,1.394705731,noun,5,11.88,2,1.12,
152,tar,611,concrete,3.324124656,noun,3,7.22,4.78,0.58,saver,611,abstract,3.261583545,noun,5,7.84,2.27,1.28,
153,cellar,621,concrete,3.789857322,noun,6,8.94,4.68,0.86,dilemma,621,abstract,3.833722459,noun,7,10.72,2,1.05,
154,radium,623,concrete,2.708572951,noun,6,14.1,4.17,1.24,malign,623,abstract,2.436098416,noun,6,13.67,2.04,1.19,
155,safari,626,concrete,3.827033523,noun,6,8.44,4.14,1.24,doom,626,abstract,3.799539447,noun,4,9.42,1.5,1.03,
156,seal,628,concrete,4.283558898,noun,4,5.42,4.63,0.74,fame,628,abstract,4.182307877,noun,4,7.26,1.96,1.08,
157,gorge,629,concrete,3.522458246,noun,5,9.17,4.15,1.29,motto,629,abstract,3.637247159,noun,5,10.41,2.48,1.43,
158,cap,634,concrete,4.420257353,noun,3,5.53,4.59,0.84,duty,634,abstract,4.614918455,noun,4,7.15,2.19,1.36,
159,belt,635,concrete,4.32248658,noun,4,4.62,4.9,0.56,limit,635,abstract,4.437989396,noun,5,6.3,2.28,1.33,
160,ribcage,636,concrete,2.576549318,noun,7,8.56,4.96,0.19,humbug,636,abstract,2.816309657,noun,6,8.29,1.57,0.95,x
161,cunt,637,concrete,3.030189477,noun,4,13.74,4.21,1.17,innate,637,abstract,2.907923331,noun,6,13.58,1.73,0.87,x
162,cognac,648,concrete,2.915843814,noun,6,14.16,4.54,1.1,fascism,648,abstract,3.007489587,noun,7,14.33,1.83,1.23,
163,cart,652,concrete,3.774554909,noun,4,6.16,4.89,0.42,guilt,652,abstract,3.834038424,noun,5,7.05,1.93,1.36,
164,cattle,655,concrete,4.245106879,noun,6,6.53,4.64,0.78,emotion,655,abstract,4.049074822,noun,7,6.37,2.44,1.48,
165,stage,657,concrete,5.189110117,noun,5,6.32,4.64,0.91,chance,657,abstract,5.455984759,noun,6,7.78,1.64,0.99,
166,moist,662,concrete,3.786346434,noun,5,9.55,4,0.98,rogue,662,abstract,3.876721307,noun,5,11.48,2.32,1.38,
167,cavity,675,concrete,3.390340925,noun,6,7.5,4.5,0.9,counsel,675,abstract,3.449318785,noun,7,9.42,2.48,1.43,
168,sunroom,677,concrete,2.534584817,noun,7,9.37,4.7,0.54,senile,677,abstract,2.640218398,noun,6,11.26,2.46,1.5,x
169,cargo,680,concrete,3.816638544,noun,5,9.48,4.62,0.73,awe,680,abstract,3.777442996,noun,3,9.06,1.89,1.22,
170,tendon,686,concrete,2.981293035,noun,6,9.58,4.47,0.97,sleaze,686,abstract,2.848024071,noun,6,11.21,2.41,1.05,
171,bladder,692,concrete,3.429735013,noun,7,10.78,4.48,1.06,dynasty,692,abstract,3.621047818,noun,7,10.5,2.46,1.45,
172,prize,694,concrete,4.808407743,noun,5,5.11,4.45,0.74,freedom,694,abstract,4.643757259,noun,7,7.05,2.34,1.4,
173,mail,699,concrete,4.627701841,noun,4,4.65,4.69,0.74,cause,699,abstract,4.830295304,noun,5,5.84,2.43,1.4,
174,gallop,708,concrete,3.345070585,noun,6,8.32,4.17,1.23,vibes,708,abstract,3.161118578,noun,5,9.95,2.48,1.27,x
175,throne,711,concrete,4.000226254,noun,6,7.28,4.64,0.99,harmony,711,abstract,3.877007498,noun,7,8.79,2.46,1.23,
176,braid,715,concrete,2.587830329,noun,5,7.22,4.38,1.21,twerp,715,abstract,2.436098416,noun,5,8,2.44,1.37,x
177,target,719,concrete,4.811379516,noun,6,7.58,4.11,1.13,shame,719,abstract,4.723655863,noun,5,6.55,2.24,1.46,
178,pouch,720,concrete,3.360377702,noun,5,6.56,4.5,1,dreamer,720,abstract,3.063091647,noun,7,7.25,2.19,1.33,
179,blazer,726,concrete,3.059347706,noun,6,9.6,4.79,0.56,rarity,726,abstract,3.296708622,noun,6,10.94,2.24,1.41,
180,car,731,concrete,5.441200895,noun,3,3.37,4.89,0.31,fun,731,abstract,5.309112361,noun,3,3.67,1.97,1.38,
181,salmon,733,concrete,4.336912273,noun,6,8,4.81,0.63,option,733,abstract,4.60502425,noun,6,8.79,2.39,1.45,
182,domino,741,concrete,3.325145325,noun,6,6.17,4.59,1.08,undoing,741,abstract,3.040128,noun,7,8.08,2.41,1.32,
183,pork,743,concrete,4.388494544,noun,4,5.63,4.79,0.82,faith,743,abstract,4.666361503,noun,5,7.62,1.63,1.08,
184,skewer,746,concrete,2.96524867,noun,6,8.94,4.46,0.92,taker,746,abstract,3.243510432,noun,5,7.9,2.3,1.2,
185,cursor,759,concrete,2.308519583,noun,6,12.16,4.33,1,whimsy,759,abstract,2.367833584,noun,6,10.26,1.85,1.13,
186,onyx,770,concrete,2.883256447,noun,4,13.29,4.64,0.99,jargon,770,abstract,3.115691475,noun,6,11.94,2.07,1.13,
187,venom,774,concrete,3.755677614,noun,5,7.95,4.62,0.92,flair,774,abstract,3.509316715,noun,5,8.91,2.46,1.35,
188,wheel,786,concrete,4.506841333,noun,5,4.4,4.86,0.45,peace,786,abstract,4.743399921,noun,5,6.32,1.62,1.35,
189,crate,788,concrete,3.287912484,noun,5,7.06,4.93,0.26,hunch,788,abstract,3.491615744,noun,5,8.68,2,1.41,
190,stud,790,concrete,3.45916372,noun,4,10.78,4,1.17,ordeal,790,abstract,3.632249469,noun,6,10.06,2.04,1.15,
191,print,791,concrete,4.290680463,noun,5,7.67,4.17,1.26,talent,791,abstract,4.578999586,noun,6,7,2.19,1.14,
192,wombat,803,concrete,2.534584817,noun,6,11.31,4.48,1.19,kudos,803,abstract,2.806325436,noun,5,13.26,2,1.22,
193,piece,805,concrete,5.270380363,noun,5,4.89,4.14,1.24,act,805,abstract,4.988943543,noun,3,6.42,2.46,1.27,
194,infant,808,concrete,3.475332217,noun,6,6.42,4.93,0.37,plea,808,abstract,3.634755503,noun,4,8.42,2.39,1.23,
